timestamp,temperature,humidity,wind_speed,pressure,modeled_pm25,modeled_pm10,ground_pm25,hour,day_of_week,month
2025-01-01 00:00:00,7.4,100,3.5,994.2,319.4,323.2,,0,2,1
2025-01-01 01:00:00,7.7,100,4.2,994.0,302.7,306.4,,1,2,1
2025-01-01 02:00:00,7.4,100,4.6,993.5,262.6,266.4,,2,2,1
2025-01-01 03:00:00,7.6,100,4.1,993.1,233.8,237.5,,3,2,1
2025-01-01 04:00:00,7.3,100,2.3,992.4,220.7,224.0,,4,2,1
2025-01-01 05:00:00,6.7,100,2.0,992.1,199.8,202.1,,5,2,1
2025-01-01 06:00:00,7.5,97,4.0,992.9,203.0,205.4,,6,2,1
2025-01-01 07:00:00,7.4,97,4.2,993.6,206.3,207.7,,7,2,1
2025-01-01 08:00:00,7.7,96,2.3,993.9,210.9,211.9,,8,2,1
2025-01-01 09:00:00,8.3,98,2.3,994.4,209.5,210.9,,9,2,1
2025-01-01 10:00:00,9.6,99,3.9,994.9,206.3,207.7,,10,2,1
2025-01-01 11:00:00,11.2,93,5.4,994.7,185.3,186.7,,11,2,1
2025-01-01 12:00:00,13.5,84,4.0,993.9,155.5,156.9,,12,2,1
2025-01-01 13:00:00,15.0,79,3.1,992.6,125.3,126.7,,13,2,1
2025-01-01 14:00:00,15.9,75,4.1,991.7,108.0,109.4,,14,2,1
2025-01-01 15:00:00,16.3,74,4.2,991.3,101.3,102.7,,15,2,1
2025-01-01 16:00:00,16.0,76,3.7,991.3,104.5,105.7,,16,2,1
2025-01-01 17:00:00,14.1,83,3.3,991.3,170.0,171.4,,17,2,1
2025-01-01 18:00:00,11.9,86,2.4,992.5,187.2,189.1,,18,2,1
2025-01-01 19:00:00,11.0,89,1.6,992.8,204.4,206.3,,19,2,1
2025-01-01 20:00:00,10.0,92,1.8,992.7,224.9,226.8,,20,2,1
2025-01-01 21:00:00,9.5,94,1.3,992.9,244.9,245.9,,21,2,1
2025-01-01 22:00:00,9.1,95,1.9,993.0,260.8,262.6,,22,2,1
2025-01-01 23:00:00,8.9,96,3.1,992.9,269.2,271.0,,23,2,1
